Tracking Number,Carrier Name,Zones,Dataset_Type,Total_Cost,Base_Cost,Surcharge_Cost,Penalty_Cost,Num_Charges,Has_Base_Rate
0F10987POIUY,Safe Express,2,Historical,25.0,0.0,0.0,25.0,1.0,False
0F10987ZXCVB,Blue Dart,4,Future/Simulated,25.0,0.0,25.0,0.0,1.0,False
0F10987ZXCVB,Delhivery,4,Future/Simulated,25.0,0.0,25.0,0.0,1.0,False
0F10987ZXCVB,Ecom Express,2,Future/Simulated,25.0,0.0,25.0,0.0,1.0,False
0F10987ZXCVB,Ecom Express,2,Historical,25.0,0.0,25.0,0.0,1.0,False
0F32109MNBVC,Delhivery,4,Historical,30.0,0.0,30.0,0.0,1.0,False
0F32109POIUY,Ekart Logistics,3,Historical,25.0,0.0,0.0,25.0,1.0,False
0F32109ZXCVB,DTDC,1,Historical,30.0,0.0,30.0,0.0,1.0,False
0F43210MNBVC,Ekart Logistics,3,Future/Simulated,25.0,0.0,25.0,0.0,1.0,False
0F43210MNBVC,Gati,1,Future/Simulated,25.0,0.0,25.0,0.0,1.0,False
0F43210MNBVC,Gati,1,Historical,25.0,0.0,25.0,0.0,1.0,False
0F43210MNBVC,Safe Express,2,Future/Simulated,25.0,0.0,25.0,0.0,1.0,False
0F54321LKJHG,Blue Dart,5,Historical,25.5,0.0,0.0,25.5,1.0,False
0F54321WXYZA,Gati,3,Historical,25.5,0.0,0.0,25.5,1.0,False
0F76543LKJHG,DHL,3,Future/Simulated,25.0,0.0,25.0,0.0,1.0,False
0F76543LKJHG,DTDC,1,Future/Simulated,25.0,0.0,25.0,0.0,1.0,False
0F76543LKJHG,FedEx,5,Future/Simulated,25.0,0.0,25.0,0.0,1.0,False
0F76543LKJHG,FedEx,5,Historical,30.0,0.0,0.0,30.0,1.0,False
0F98765MNBVC,DHL,3,Historical,25.0,0.0,0.0,25.0,1.0,False
1F09876ZXCVB,DTDC,1,Historical,25.0,0.0,25.0,0.0,1.0,False
1F10987LKJHG,Ecom Express,2,Historical,25.0,0.0,0.0,25.0,1.0,False
1F10987POIUY,Ekart Logistics,3,Historical,25.0,0.0,25.0,0.0,1.0,False
1F10987ZXCVB,Blue Dart,4,Future/Simulated,25.0,0.0,25.0,0.0,1.0,False
1F10987ZXCVB,Blue Dart,4,Historical,25.0,0.0,25.0,0.0,1.0,False
1F10987ZXCVB,Delhivery,4,Future/Simulated,30.0,0.0,30.0,0.0,1.0,False
1F10987ZXCVB,Ecom Express,2,Future/Simulated,25.0,0.0,25.0,0.0,1.0,False
1F1234567890123450,Delhivery,Zone 3,Historical,10.0,0.0,10.0,0.0,1.0,False
1F1234567890123451,DTDC,Zone 4,Historical,5.5,0.0,5.5,0.0,1.0,False
1F1234567890123452,Ekart Logistics,Zone 5,Historical,7.25,0.0,0.0,7.25,1.0,False
1F1234567890123453,Ecom Express,Zone 6,Historical,8.75,0.0,8.75,0.0,1.0,False
1F1234567890123454,FedEx,Zone 1,Historical,9.0,0.0,9.0,0.0,1.0,False
1F1234567890123455,Gati,Zone 2,Historical,6.25,0.0,0.0,6.25,1.0,False
1F1234567890123456,Blue Dart,Zone 3,Historical,7.5,0.0,0.0,7.5,1.0,False
1F1234567890123457,DHL,Zone 4,Historical,12.75,0.0,12.75,0.0,1.0,False
1F1234567890123458,Delhivery,Zone 6,Historical,11.25,0.0,11.25,0.0,1.0,False
1F1234567890123459,Delhivery,Zone 6,Historical,11.25,0.0,11.25,0.0,1.0,False
1F1234567890126001,DTDC,Zone 4,Historical,8.25,0.0,8.25,0.0,1.0,False
1F1234567890126002,Ekart Logistics,Zone 5,Historical,11.5,0.0,11.5,0.0,1.0,False
1F1234567890126003,FedEx,Zone 6,Historical,7.75,0.0,0.0,7.75,1.0,False
1F1234567890126004,Gati,Zone 1,Historical,9.0,0.0,0.0,9.0,1.0,False
1F1234567890126005,Blue Dart,Zone 2,Historical,10.75,0.0,10.75,0.0,1.0,False
1F1234567890126006,DHL,Zone 3,Historical,12.0,0.0,12.0,0.0,1.0,False
1F1234567890126007,Ecom Express,Zone 4,Historical,6.5,0.0,6.5,0.0,1.0,False
1F1234567890126008,Delhivery,Zone 5,Historical,8.25,0.0,0.0,8.25,1.0,False
1F1234567890126009,DTDC,Zone 6,Historical,9.5,0.0,9.5,0.0,1.0,False
1F1234567890126010,Ekart Logistics,Zone 1,Historical,10.0,0.0,10.0,0.0,1.0,False
